date,SMALL LoBM,ME1 BM2,ME1 BM3,ME1 BM4,SMALL HiBM,ME2 BM1,ME2 BM2,ME2 BM3,ME2 BM4,ME2 BM5,ME3 BM1,ME3 BM2,ME3 BM3,ME3 BM4,ME3 BM5,ME4 BM1,ME4 BM2,ME4 BM3,ME4 BM4,ME4 BM5,BIG LoBM,ME5 BM2,ME5 BM3,ME5 BM4,BIG HiBM
193001,-0.026766,0.090039,0.21818300000000002,0.11802099999999999,0.110292,0.078737,0.12124800000000001,0.09500299999999999,0.046442,0.14539,0.087999,0.112873,0.040865,0.06355000000000001,0.041285999999999996,0.074775,0.084258,0.056022999999999996,0.034816,0.039517000000000004,0.069397,0.076149,0.006754,0.04995599999999999,-0.004104
193002,0.169723,0.144118,-0.018758,-0.014177,0.027575,-0.019117,0.023225,0.041616,0.016175,0.056337,0.016699,0.033231000000000004,0.028828999999999997,0.026608,0.028421,0.004977,0.078405,-0.012984,0.002764,0.009862,0.031845,0.04561,0.011642999999999999,0.014893,0.049741
193003,0.228187,-0.007209999999999999,0.08982799999999999,0.166854,0.120505,0.062626,0.046931,0.140652,0.08248,0.053697,0.098448,0.089231,0.063234,0.09612899999999999,0.14162,0.066888,0.054523,0.07146899999999999,0.121871,0.109418,0.066643,0.061562,0.115196,0.044962,0.021452
193004,-0.06973,-0.058901,-0.05145400000000001,-0.077391,-0.054134,-0.088215,-0.048629,-0.031383999999999995,-0.037915000000000004,-0.051834,-0.030844,-0.046108,-0.050217,-0.032204,-0.024801000000000004,-0.027372999999999998,-0.050587999999999994,-0.052782,-0.051292,-0.044592,-0.008153,-0.033382999999999996,0.00023,-0.06192,-0.073589
193005,-0.024085000000000002,-0.131099,0.017043,-0.051405000000000006,-0.061347,-0.058346,-0.01496,-0.052688,-0.043118,-0.027295,-0.032164,-0.008849000000000001,-0.04146,-0.03056,0.0038540000000000002,-0.034829,-0.040539,-0.034874,-0.0013,-0.048213,0.008782,0.000729,-0.020379,-0.01512,-0.008007
193006,-0.134475,-0.201571,-0.184028,-0.152508,-0.211727,-0.237983,-0.184338,-0.17411100000000002,-0.17497900000000002,-0.187951,-0.12937099999999999,-0.18657,-0.130578,-0.13578099999999999,-0.181799,-0.21901199999999998,-0.18082399999999998,-0.15850799999999998,-0.142266,-0.185651,-0.17491299999999999,-0.16808499999999998,-0.134094,-0.095513,-0.097101
193007,0.026404999999999998,0.039918999999999996,0.129011,0.032517,0.012265,0.07841999999999999,0.063358,0.049776,0.028807,0.008178999999999999,0.062681,0.057382999999999997,0.031383,0.048158000000000006,0.0286,0.057349,0.045566,0.040677000000000005,0.02302,-0.004418,0.051599000000000006,0.038734000000000005,0.034092,0.023781,0.104629
193008,-0.09329000000000001,-0.085398,-0.032926000000000004,-0.063293,-0.028689,-0.038141,0.003944,-0.008875,-0.026634,-0.009432000000000001,-0.026558000000000002,-0.013080000000000001,-0.018148,-0.012087,-0.010955,0.014153,-0.0057989999999999995,-0.014965,-0.025729000000000002,0.049078,0.013808,-0.004436,0.004443,-0.015446,-0.240437
193009,-0.308037,-0.337274,-0.29979,-0.193383,-0.200107,-0.145237,-0.144284,-0.144732,-0.15713100000000002,-0.205654,-0.128024,-0.146977,-0.120935,-0.155805,-0.21712499999999998,-0.12976000000000001,-0.14561,-0.131447,-0.12476699999999999,-0.22191400000000003,-0.130242,-0.117232,-0.094101,-0.147101,-0.280576
193010,-0.318635,-0.094101,-0.068098,-0.147578,-0.092796,-0.075198,-0.114959,-0.10421,-0.098536,-0.07348,-0.13846,-0.0892,-0.059438000000000005,-0.11449,-0.187547,-0.11522199999999999,-0.093061,-0.082121,-0.11074,-0.125795,-0.09863200000000001,-0.069303,-0.068776,-0.088018,-0.2
