target_success,upper_guardrail,lower_guardrail,adjustment_pct,adjustment_mode,min_remaining_years,n_complete,success_rate,median_funded,p10_funded,median_cr,p10_cr,median_fr,p10_fr,median_cv,median_min_wd,p10_min_wd,median_adj,score
0.600000,0.900000,0.200000,0.750000,success_rate,15,36,1.000000,1.000000,1.000000,2.115985,1.550202,1.411989,0.971840,0.269351,42359.681160,29155.185128,10.000000,2.585372
0.750000,0.900000,0.500000,0.750000,success_rate,10,36,1.000000,1.000000,1.000000,2.485339,1.742243,1.268362,0.965949,0.361141,38050.850156,28978.456447,16.000000,2.583095
0.800000,0.900000,0.700000,0.750000,amount,5,36,0.833333,1.000000,1.000000,2.913333,2.057789,1.187383,0.870960,0.507178,35621.499098,26128.788306,27.000000,2.582017
0.700000,0.900000,0.600000,1.000000,amount,5,36,0.750000,1.000000,1.000000,2.730766,1.938851,1.229374,0.886336,0.466110,36881.216109,26590.070752,16.000000,2.574737
0.700000,0.900000,0.600000,1.000000,success_rate,5,36,0.750000,1.000000,1.000000,2.730766,1.938851,1.229374,0.886336,0.466110,36881.216109,26590.070752,16.000000,2.574737
0.700000,0.900000,0.300000,0.750000,success_rate,10,36,1.000000,1.000000,1.000000,2.272944,1.634301,1.343966,0.993043,0.314440,40318.974487,29791.280009,12.000000,2.574490
0.750000,0.900000,0.500000,0.750000,amount,15,36,1.000000,1.000000,1.000000,2.403475,1.692524,1.280525,0.976756,0.327972,38415.744306,29302.691853,14.000000,2.573008
0.600000,0.900000,0.500000,0.500000,amount,15,36,1.000000,1.000000,1.000000,2.282197,1.595977,1.312500,1.033903,0.282055,39375.000000,31017.103668,19.000000,2.572952
0.800000,0.900000,0.500000,0.750000,success_rate,5,36,0.805556,1.000000,1.000000,2.713653,1.944514,1.230637,0.950352,0.460195,36919.117647,28510.563224,19.500000,2.571106
0.700000,0.900000,0.500000,0.500000,amount,5,36,0.805556,1.000000,1.000000,2.562311,1.800632,1.232963,1.034658,0.373429,36988.888889,31039.748463,18.000000,2.569360
0.600000,0.900000,0.200000,0.750000,amount,20,36,1.000000,1.000000,1.000000,2.018786,1.541054,1.455464,0.982254,0.253170,43663.933276,29467.621719,8.000000,2.566330
0.600000,0.900000,0.400000,0.500000,amount,10,36,1.000000,1.000000,1.000000,2.271249,1.605680,1.312500,1.040075,0.280054,39375.000000,31202.257281,17.000000,2.563591
0.750000,0.900000,0.700000,0.500000,amount,5,36,0.833333,1.000000,1.000000,2.800704,1.949760,1.190000,0.960157,0.461786,35700.000000,28804.699452,30.000000,2.563308
0.750000,0.900000,0.400000,0.750000,success_rate,15,36,1.000000,1.000000,1.000000,2.331850,1.665208,1.301974,0.971138,0.311753,39059.210526,29134.126924,13.000000,2.562766
0.800000,0.900000,0.500000,0.750000,amount,5,36,0.833333,1.000000,1.000000,2.689323,1.927996,1.220513,0.942173,0.439120,36615.384615,28265.182893,19.000000,2.561680
0.750000,0.900000,0.400000,0.750000,amount,10,36,1.000000,1.000000,1.000000,2.397740,1.718337,1.285000,0.976194,0.337182,38550.000000,29285.819110,15.000000,2.561651
0.700000,0.900000,0.600000,0.500000,success_rate,10,36,1.000000,1.000000,1.000000,2.426180,1.736404,1.267094,0.986921,0.333660,38012.820513,29607.625927,26.000000,2.561330
0.750000,0.900000,0.600000,0.750000,success_rate,15,36,1.000000,1.000000,1.000000,2.439397,1.746298,1.268753,0.964423,0.346868,38062.579122,28932.700100,17.000000,2.558215
0.600000,0.900000,0.500000,0.750000,success_rate,15,36,1.000000,1.000000,1.000000,2.278042,1.635194,1.314906,0.989352,0.292408,39447.166826,29680.546361,14.000000,2.557469
0.850000,0.900000,0.700000,0.750000,success_rate,5,36,0.833333,1.000000,1.000000,3.055483,2.132411,1.155297,0.847437,0.551936,34658.903345,25423.098837,31.500000,2.555826
