target_success,upper_guardrail,lower_guardrail,adjustment_pct,adjustment_mode,min_remaining_years,initial_rate,initial_wd,n_complete,success_rate,median_funded,p10_funded,median_cr,p10_cr,median_fr,p10_fr,median_avg_wd_ratio,p10_avg_wd_ratio,median_cv,median_downside_cv,median_min_wd,p10_min_wd,median_adj,score
0.950000,0.990000,0.400000,1.000000,amount,5,0.013769,13769.230769,2000,0.923500,1.000000,1.000000,5.770468,1.471881,0.458974,0.375923,5.051448,0.910776,1.276240,0.000000,13769.230769,11277.684082,6.000000,1.924159
0.950000,0.990000,0.400000,1.000000,success_rate,5,0.013769,13769.230769,2000,0.923500,1.000000,1.000000,5.770468,1.471881,0.458974,0.375923,5.051448,0.910776,1.276240,0.000000,13769.230769,11277.684082,6.000000,1.924159
0.950000,0.990000,0.700000,0.100000,success_rate,5,0.013769,13769.230769,2000,0.964000,1.000000,1.000000,5.572426,1.356217,0.458974,0.406252,5.022441,0.833367,1.418880,0.000000,13769.230769,12187.549232,21.000000,1.923039
0.950000,0.990000,0.600000,0.750000,amount,5,0.013769,13769.230769,2000,0.954000,1.000000,1.000000,5.718073,1.467435,0.458974,0.272675,5.131939,0.898254,1.310085,0.000000,13769.230769,8180.247857,8.000000,1.922494
0.950000,0.990000,0.600000,0.750000,amount,1,0.013769,13769.230769,2000,0.998000,1.000000,1.000000,5.804083,1.495382,0.458974,0.261957,5.217587,0.929418,1.360691,0.138286,13769.230769,7858.723502,11.000000,1.917852
0.900000,0.990000,0.700000,0.250000,success_rate,5,0.019375,19375.000000,2000,0.941000,1.000000,1.000000,5.372547,1.372097,0.645833,0.338075,4.898614,0.837953,1.289397,0.000000,19375.000000,10142.239708,9.000000,1.915561
0.950000,0.990000,0.700000,0.750000,success_rate,1,0.013769,13769.230769,2000,0.998000,1.000000,1.000000,5.809114,1.499037,0.458974,0.272237,5.220793,0.932042,1.345607,0.173041,13769.230769,8167.103478,10.000000,1.914432
0.900000,0.990000,0.700000,0.100000,success_rate,1,0.019375,19375.000000,2000,0.998500,1.000000,1.000000,5.392692,1.328244,0.645833,0.359602,4.985556,0.787223,1.410699,0.165272,19375.000000,10788.059817,17.000000,1.913971
0.950000,0.990000,0.500000,1.000000,amount,5,0.013769,13769.230769,2000,0.936000,1.000000,1.000000,5.770468,1.477314,0.458974,0.334503,5.051448,0.916916,1.278722,0.000000,13769.230769,10035.095771,6.000000,1.913804
0.950000,0.990000,0.500000,1.000000,success_rate,5,0.013769,13769.230769,2000,0.936000,1.000000,1.000000,5.770468,1.477314,0.458974,0.334503,5.051448,0.916916,1.278722,0.000000,13769.230769,10035.095771,6.000000,1.913804
0.900000,0.990000,0.700000,0.500000,success_rate,5,0.019375,19375.000000,2000,0.925500,1.000000,1.000000,5.384086,1.426003,0.645833,0.311285,4.906987,0.885739,1.244935,0.000000,19375.000000,9338.544003,6.000000,1.911376
0.900000,0.990000,0.600000,0.250000,success_rate,5,0.019375,19375.000000,2000,0.937000,1.000000,1.000000,5.251518,1.336785,0.645833,0.374409,4.839032,0.804768,1.274595,0.000000,19375.000000,11232.284119,8.000000,1.906770
0.900000,0.990000,0.600000,0.100000,success_rate,1,0.019375,19375.000000,2000,0.998500,1.000000,1.000000,5.320081,1.308315,0.645833,0.365603,4.950336,0.762519,1.397507,0.164123,19375.000000,10968.099529,16.000000,1.905135
0.900000,0.990000,0.700000,0.050000,success_rate,1,0.019375,19375.000000,2000,0.998500,1.000000,1.000000,5.321540,1.254699,0.645833,0.386687,4.931109,0.751238,1.464134,0.161751,19375.000000,11600.601692,22.000000,1.905113
