target,upper,lower,adj,mode,min_remain,init_wd,swr,success_rate,funded_ratio,eff_success,eff_funded,median_cew,p10_cew,p10_avg_wd,p50_avg_wd,p90_avg_wd,p90_max_drop,mean_years_below_floor,seed
0.75,0.9,0.5,0.15,amount,1,40450.0,0.04045,0.848,0.98218,0.7525,0.91472,52500.030288492155,4.187099081865016e-09,28120.03461391566,84110.34389911938,305581.7154630822,1.0,3.5645,42
0.75,0.9,0.5,0.15,amount,3,40450.0,0.04045,0.8485,0.98219,0.752,0.91471,52369.48301099939,4.187099081865016e-09,27991.63839583153,82343.94157350845,294881.5046456611,1.0,3.5765,42
0.75,0.9,0.5,0.15,amount,5,40450.0,0.04045,0.8565,0.98238,0.7555,0.91477,52536.43308655679,4.187099081865052e-09,27514.484287046227,80212.22867825427,281954.4991700772,1.0,3.6025,42
0.75,0.9,0.5,0.15,amount,10,40450.0,0.04045,0.892,0.9836600000000001,0.7705,0.91446,53064.744109284664,8.45794014536625e-09,27090.188086626775,75423.32450751934,254330.098071894,1.0,3.7075,42
0.75,0.9,0.5,0.15,success_rate,1,40450.0,0.04045,0.992,0.99951,0.7895,0.8961500000000001,55688.03625177027,24998.806160494492,30841.59467230731,86967.73539128352,318431.3319285003,0.4624551410845204,3.3085,42
0.75,0.9,0.5,0.15,success_rate,3,40450.0,0.04045,0.9945,0.9995599999999999,0.7795,0.89595,55293.68357340043,24956.313227142942,30099.393615398898,83666.79183272284,292838.2024982893,0.6032574737591936,3.3895,42
0.75,0.9,0.5,0.15,success_rate,5,40450.0,0.04045,0.9955,0.99959,0.7675,0.8953999999999999,55235.54617045021,24826.821348810416,29245.06514604995,81408.1275916879,280365.3528822847,0.5368730542956949,3.4575,42
0.75,0.9,0.5,0.15,success_rate,10,40450.0,0.04045,0.997,0.99975,0.759,0.89389,54620.6512855178,24162.044716275446,28224.541916784085,76172.84536475991,250203.0435095404,0.45995855325312995,3.667,42
0.75,0.9,0.5,0.2,amount,1,40450.0,0.04045,0.896,0.99138,0.7635,0.90983,53578.86485676488,8.457940145367329e-09,29272.554048532522,84438.8411908205,303369.9376900302,1.0,3.3685,42
0.75,0.9,0.5,0.2,amount,3,40450.0,0.04045,0.901,0.99148,0.7645,0.90985,53587.9162336685,4705.483460724146,29046.04780313794,82910.60690361421,290019.32351458044,0.1994992970847625,3.3885,42
0.75,0.9,0.5,0.2,amount,5,40450.0,0.04045,0.9115,0.99172,0.7675,0.9098200000000001,53630.83592454327,11433.464033828894,28705.91411361146,81185.34988558546,280103.3302592165,0.1908972297403426,3.4235,42
0.75,0.9,0.5,0.2,amount,10,40450.0,0.04045,0.943,0.9929,0.7745,0.90937,53821.77258494355,19503.045902530997,27818.877037024526,75937.47341943078,251446.66019183057,0.1764487989207086,3.558,42
0.75,0.9,0.5,0.2,success_rate,1,40450.0,0.04045,0.992,0.9995799999999999,0.784,0.89043,55893.438378688166,25443.606843007186,31549.832955820963,86820.1192704361,313073.80505614675,0.4625327437493605,3.21,42
0.75,0.9,0.5,0.2,success_rate,3,40450.0,0.04045,0.995,0.99964,0.776,0.89027,55536.517162835866,25481.97176029124,31007.821477777983,83679.81833695577,288376.83254308376,0.5973892472192432,3.301,42
0.75,0.9,0.5,0.2,success_rate,5,40450.0,0.04045,0.996,0.9996700000000001,0.7645,0.88975,55459.868873797124,25402.35639526125,30077.784155023368,81303.2259958014,274591.7856373748,0.5421369779000482,3.371,42
0.75,0.9,0.5,0.2,success_rate,10,40450.0,0.04045,0.9975,0.9998199999999999,0.7525,0.88812,54885.81764332678,24673.477764500472,28815.863867745044,76027.24504747323,249163.33774306992,0.4630537103618261,3.5885,42
0.75,0.9,0.5,0.25,amount,1,40450.0,0.04045,0.927,0.99469,0.7715,0.90546,54200.81659378377,16426.51607454812,29972.580851314146,84881.4970824699,303494.6836811299,0.22067833597046696,3.2585,42
0.75,0.9,0.5,0.25,amount,3,40450.0,0.04045,0.929,0.99473,0.772,0.90547,54142.34229848408,17009.199691542497,29741.68427220293,82925.58448241488,289376.8950450355,0.22657643494862884,3.292,42
