target,upper,lower,adj,mode,min_remain,envs_total,envs_top_effFR,envs_top_cew,envs_top_both,mean_eff_funded,min_eff_funded,mean_median_cew,min_median_cew,mean_swr,min_swr,mean_eff_sr,pct_top_effFR,pct_top_cew,pct_top_both
0.8,0.99,0.7,0.1,success_rate,3,54,0,0,0,0.8473338477366256,0.6556222222222222,37754.60339462081,2.8113615841033503e-10,0.04278262906776284,0.0349565217391304,0.6901851851851852,0.0,0.0,0.0
0.8,0.99,0.7,0.1,success_rate,5,54,0,0,0,0.8473297325102881,0.6557555555555555,37569.096733172475,2.8113615841033503e-10,0.04278262906776284,0.0349565217391304,0.6915462962962963,0.0,0.0,0.0
0.8,0.99,0.7,0.15,amount,1,54,0,9,0,0.8623288065843622,0.6829000000000001,47321.656335894826,3.3575406986963746e-10,0.04278262906776284,0.0349565217391304,0.7134351851851852,0.0,0.16666666666666666,0.0
0.8,0.99,0.7,0.15,amount,3,54,0,9,0,0.8623374999999999,0.6829222222222222,47232.34709585959,3.3575406986963746e-10,0.04278262906776284,0.0349565217391304,0.7137777777777777,0.0,0.16666666666666666,0.0
0.8,0.99,0.7,0.15,amount,5,54,0,6,0,0.862374537037037,0.6829777777777778,47093.281378386026,3.3575406986963746e-10,0.04278262906776284,0.0349565217391304,0.7153703703703704,0.0,0.1111111111111111,0.0
0.8,0.99,0.7,0.15,amount,10,54,0,9,0,0.8623671810699589,0.6831777777777778,46709.87678107222,3.3575406986963746e-10,0.04278262906776284,0.0349565217391304,0.7225,0.0,0.16666666666666666,0.0
0.8,0.99,0.7,0.15,success_rate,1,54,0,0,0,0.8402104423868312,0.6445444444444445,36357.34759498877,2.8113615841033493e-10,0.04278262906776284,0.0349565217391304,0.6816944444444445,0.0,0.0,0.0
0.8,0.99,0.7,0.15,success_rate,3,54,0,0,0,0.8402543724279836,0.6446000000000001,36239.848711713195,2.8113615841033493e-10,0.04278262906776284,0.0349565217391304,0.6828518518518519,0.0,0.0,0.0
0.8,0.99,0.7,0.15,success_rate,5,54,0,0,0,0.8402844650205762,0.6447,36060.59369861193,2.8113615841033493e-10,0.04278262906776284,0.0349565217391304,0.6847777777777778,0.0,0.0,0.0
0.8,0.99,0.7,0.2,amount,1,54,0,0,0,0.855037962962963,0.6721222222222223,47193.51351733498,3.3575406986963736e-10,0.04278262906776284,0.0349565217391304,0.705212962962963,0.0,0.0,0.0
0.8,0.99,0.7,0.2,amount,3,54,0,0,0,0.8550460390946503,0.6721222222222223,47129.80133987319,3.3575406986963736e-10,0.04278262906776284,0.0349565217391304,0.7054814814814814,0.0,0.0,0.0
0.8,0.99,0.7,0.2,amount,5,54,0,0,0,0.8551039609053498,0.6722111111111111,47109.385285804856,3.3575406986963736e-10,0.04278262906776284,0.0349565217391304,0.7079722222222222,0.0,0.0,0.0
0.8,0.99,0.7,0.2,amount,10,54,0,3,0,0.8551838477366255,0.6726,46784.636307812936,3.3575406986963736e-10,0.04278262906776284,0.0349565217391304,0.7163333333333334,0.0,0.05555555555555555,0.0
0.8,0.99,0.7,0.2,success_rate,1,54,0,0,0,0.8337868827160494,0.6366222222222222,36413.920955366455,2.6911997254844417e-10,0.04278262906776284,0.0349565217391304,0.674074074074074,0.0,0.0,0.0
0.8,0.99,0.7,0.2,success_rate,3,54,0,0,0,0.83383487654321,0.6366666666666666,36294.53314173558,2.6911997254844417e-10,0.04278262906776284,0.0349565217391304,0.6754166666666666,0.0,0.0,0.0
0.8,0.99,0.7,0.25,amount,1,54,0,0,0,0.8488958333333334,0.6640666666666666,35640.56441458765,3.147589839681171e-10,0.04278262906776284,0.0349565217391304,0.6985370370370371,0.0,0.0,0.0
0.8,0.99,0.7,0.25,amount,3,54,0,0,0,0.8489156378600824,0.6640777777777778,35549.662151473494,3.147589839681171e-10,0.04278262906776284,0.0349565217391304,0.6991944444444445,0.0,0.0,0.0
0.85,0.9,0.5,0.1,success_rate,1,54,0,0,0,0.8398887345679013,0.6152777777777778,37533.22713973735,2.4733822537515934e-10,0.038638528141382585,0.0311785714285714,0.6661481481481482,0.0,0.0,0.0
0.85,0.9,0.5,0.1,success_rate,3,54,0,0,0,0.8399062242798355,0.6153333333333333,37391.363923551406,2.4733822537515934e-10,0.038638528141382585,0.0311785714285714,0.6663148148148148,0.0,0.0,0.0
0.85,0.9,0.5,0.15,success_rate,1,54,0,30,0,0.8311673868312758,0.5963111111111111,38022.14671243955,2.374401684160199e-10,0.038638528141382585,0.0311785714285714,0.652175925925926,0.0,0.5555555555555556,0.0
0.85,0.9,0.5,0.15,success_rate,3,54,0,24,0,0.8311767489711934,0.5963777777777779,37854.696405243914,2.374401684160199e-10,0.038638528141382585,0.0311785714285714,0.6521111111111111,0.0,0.4444444444444444,0.0
0.85,0.9,0.5,0.15,success_rate,5,54,0,18,0,0.8311478395061728,0.596488888888889,37737.02673642794,2.374401684160199e-10,0.038638528141382585,0.0311785714285714,0.6528425925925926,0.0,0.3333333333333333,0.0
0.85,0.9,0.5,0.2,success_rate,1,54,0,27,0,0.8250994855967079,0.5861444444444444,38230.71668032851,2.374401684160199e-10,0.038638528141382585,0.0311785714285714,0.6416944444444445,0.0,0.5,0.0
0.85,0.9,0.5,0.2,success_rate,3,54,0,30,0,0.8251373456790124,0.5862111111111111,38101.40417346966,2.374401684160199e-10,0.038638528141382585,0.0311785714285714,0.6425833333333334,0.0,0.5555555555555556,0.0
0.85,0.9,0.5,0.2,success_rate,5,54,0,27,0,0.8251230452674897,0.5862222222222222,38000.8998387488,2.374401684160199e-10,0.038638528141382585,0.0311785714285714,0.6437037037037037,0.0,0.5,0.0
0.85,0.9,0.5,0.25,amount,1,54,0,9,0,0.8406343621399176,0.6116666666666667,37644.37570367683,2.4733822537515934e-10,0.038638528141382585,0.0311785714285714,0.6534074074074074,0.0,0.16666666666666666,0.0
0.85,0.9,0.5,0.25,amount,3,54,0,0,0,0.8406656378600823,0.6116888888888888,37574.77538220015,2.4733822537515934e-10,0.038638528141382585,0.0311785714285714,0.6545000000000001,0.0,0.0,0.0
0.85,0.9,0.5,0.25,amount,5,54,0,0,0,0.8408039609053498,0.6117999999999999,37580.41715205902,2.4733822537515934e-10,0.038638528141382585,0.0311785714285714,0.6601481481481483,0.0,0.0,0.0
