target,upper,lower,adj,mode,min_remain,init_wd,swr,success_rate,eff_success,eff_funded,median_cew,p10_avg_wd,mean_years_below_floor,passes_eff_sr,passes_p10_wd,passes_years_below,gating_pass
0.75,0.9,0.5,0.25,success_rate,3,42186.04651162791,0.04218604651162791,0.9945,0.771,0.88651,59363.005596015406,32029.132126161312,3.269,False,True,True,False
0.75,0.9,0.5,0.25,success_rate,5,42186.04651162791,0.04218604651162791,0.9955,0.7605,0.8859300000000001,59091.10405284685,31362.50593181345,3.3565,False,True,True,False
0.75,0.9,0.5,0.25,success_rate,10,42186.04651162791,0.04218604651162791,0.9975,0.749,0.88434,58413.145690381556,29924.397506424095,3.565,False,True,True,False
0.75,0.9,0.7,0.05,amount,1,42186.04651162791,0.04218604651162791,0.7805,0.777,0.9310400000000001,55017.854627265995,23747.052257486936,3.503,False,False,True,False
0.75,0.9,0.7,0.05,amount,3,42186.04651162791,0.04218604651162791,0.7805,0.777,0.9310400000000001,54976.84270178713,23747.052257486936,3.5035,False,False,True,False
0.75,0.9,0.7,0.05,amount,5,42186.04651162791,0.04218604651162791,0.7825,0.7785,0.93108,54904.401312848015,23747.052257486936,3.5015,False,False,True,False
0.75,0.9,0.7,0.05,amount,10,42186.04651162791,0.04218604651162791,0.7845,0.779,0.93117,54538.74709736835,23747.052257486936,3.5005,False,False,True,False
0.75,0.9,0.7,0.05,success_rate,1,42186.04651162791,0.04218604651162791,0.984,0.7875,0.91059,57561.448978931105,28828.938758224325,3.76,False,True,True,False
0.75,0.9,0.7,0.05,success_rate,3,42186.04651162791,0.04218604651162791,0.991,0.7805,0.9104500000000001,57500.85998321358,28290.45475960825,3.7975,False,True,True,False
0.75,0.9,0.7,0.05,success_rate,5,42186.04651162791,0.04218604651162791,0.994,0.7745,0.91003,57569.346976140216,28089.47620693697,3.842,False,True,True,False
0.75,0.9,0.7,0.05,success_rate,10,42186.04651162791,0.04218604651162791,0.995,0.773,0.90917,57267.873843747555,27363.34630381432,3.941,False,True,True,False
0.75,0.9,0.7,0.1,amount,1,42186.04651162791,0.04218604651162791,0.8205,0.7645,0.92252,54915.593500867326,28105.557836233707,3.513,False,True,True,False
0.75,0.9,0.7,0.1,amount,3,42186.04651162791,0.04218604651162791,0.821,0.7645,0.92252,54867.949097212375,27910.021032674304,3.5235,False,True,True,False
0.75,0.9,0.7,0.1,amount,5,42186.04651162791,0.04218604651162791,0.8275,0.768,0.9225599999999999,54895.00848350578,27679.28302817647,3.5365,False,True,True,False
0.75,0.9,0.7,0.1,amount,10,42186.04651162791,0.04218604651162791,0.8435,0.778,0.9227900000000001,55134.3874910425,27374.84562645581,3.578,False,True,True,False
0.75,0.9,0.7,0.1,success_rate,1,42186.04651162791,0.04218604651162791,0.9885,0.79,0.90195,58602.89111381097,31373.03536095993,3.385,False,True,True,False
0.75,0.9,0.7,0.1,success_rate,3,42186.04651162791,0.04218604651162791,0.9935,0.7845,0.9018399999999999,58531.68395257375,30696.61562439325,3.4415,False,True,True,False
