target,upper,lower,adj,mode,min_remain,swr_mean,swr_std,success_rate_mean,success_rate_std,funded_ratio_mean,funded_ratio_std,eff_success_mean,eff_success_std,eff_funded_mean,eff_funded_std,median_cew_mean,median_cew_std,p10_cew_mean,p10_cew_std,p10_avg_wd_mean,p10_avg_wd_std,p50_avg_wd_mean,p50_avg_wd_std,p90_avg_wd_mean,p90_avg_wd_std,p90_max_drop_mean,p90_max_drop_std,mean_years_below_floor_mean,mean_years_below_floor_std,init_wd_mean,init_wd_std,n_seeds
0.75,0.9,0.1,0.25,amount,10,0.04045,0.0,0.8996000000000001,0.0002236067977500102,0.988122,1.0954451150071205e-05,0.6946999999999999,0.0006708203932499359,0.9009579999999999,0.00027698375403621635,53351.58296721652,9.208006085149536,176.2854450216949,394.18623849339923,25216.36795480015,28.639693597514142,72765.3796870131,153.0663589900858,247497.86469772033,15.454663924300432,0.8649146749778543,0.302059969512171,4.906599999999999,0.012198360545581011,40450.0,0.0,5
0.75,0.9,0.1,0.25,success_rate,1,0.04045,0.0,0.9892,0.0002738612787526475,0.999296,4.9295030175417966e-05,0.7313,0.0004472135954999715,0.8844240000000001,0.00024694128856877335,55940.91392202342,18.61911752354963,21147.41695544635,36.01621027634845,28018.636403112694,24.592739474673536,82139.13562920506,51.63072863664776,292873.73533645284,65.09284915711761,0.5677853126893806,0.0010991320621409084,4.218,0.01185326959112922,40450.0,0.0,5
0.75,0.9,0.1,0.25,success_rate,3,0.04045,0.0,0.9942,0.0002738612787526475,0.999396,4.9295030175417966e-05,0.7173,0.0004472135954999715,0.884144,0.0002469412885687432,55443.97744406186,35.00023660531939,20912.958903458577,95.81738876258285,27639.56725563986,20.71139631218532,79905.2543098873,47.930633742830345,275040.21302684327,36.001815425845585,0.6670670382478281,0.0006490785381732588,4.3358,0.012342001458434044,40450.0,0.0,5
0.75,0.9,0.1,0.25,success_rate,5,0.04045,0.0,0.9942,0.0002738612787526475,0.999396,4.9295030175417966e-05,0.6978,0.0011510864433221836,0.8831900000000001,0.00026105554964421035,55251.39083942598,13.471726540147852,20523.07481468508,170.42570446635486,27331.322789715534,79.47411102505542,77860.28043147878,80.78077658525602,265491.5670523393,173.34062906891248,0.5942644053475646,0.000863827390291972,4.432799999999999,0.014166862743741182,40450.0,0.0,5
0.75,0.9,0.1,0.25,success_rate,10,0.04045,0.0,0.9952,0.0002738612787526475,0.9994759999999999,4.929503017551256e-05,0.6942,0.0005700877125495604,0.8812760000000001,0.0002485558287387229,54535.57806286392,5.728628134304162,20217.072881497093,80.78188866474255,26742.47478313463,38.60390944803332,73806.89910391749,88.10370565583293,242716.60652773464,6.535744418371716,0.5686819074686561,0.00015513761369922148,4.6305,0.013697627531802843,40450.0,0.0,5
0.75,0.9,0.2,0.05,amount,1,0.04045,0.0,0.7266,0.0006519202405202638,0.91931,0.00012083045973595745,0.7253999999999999,0.0004183300132670556,0.9167759999999999,0.00012095453691365715,51984.78566786922,13.359510971514643,3.7030355884534674e-10,0.0,22166.015030777085,9.033927599340666,75061.34092582221,128.96819994628922,272562.93915685266,23.35488315625307,1.0,0.0,4.1955,0.006041522986797429,40450.0,0.0,5
0.75,0.9,0.2,0.05,amount,3,0.04045,0.0,0.7266,0.0006519202405202638,0.91931,0.00012083045973595745,0.7253999999999999,0.0004183300132670556,0.9167759999999999,0.00012095453691365715,51941.128909427265,17.16904878639048,3.7030355884534674e-10,0.0,22166.015030777085,9.033927599340666,73618.75479709968,16.17159330405673,261672.44986421644,15.122049740807437,1.0,0.0,4.1955,0.006041522986797429,40450.0,0.0,5
0.75,0.9,0.2,0.05,amount,5,0.04045,0.0,0.7266,0.0006519202405202638,0.91931,0.00012083045973595745,0.7253999999999999,0.0004183300132670556,0.916766,0.00012095453691365715,51863.236027810155,17.032509757056275,3.7030355884534674e-10,0.0,22166.015030777085,9.033927599340666,72539.3674298294,92.2024725143313,250365.24964013067,30.359109337832177,1.0,0.0,4.196,0.006041522986797057,40450.0,0.0,5
0.75,0.9,0.2,0.05,amount,10,0.04045,0.0,0.7323999999999999,0.0004183300132670556,0.9195840000000001,0.00011717508267545,0.7304,0.0004183300132670556,0.9169539999999999,0.0001171750826754271,51688.12399080352,11.962492741968722,3.7030355884534674e-10,0.0,22166.015030777085,9.033927599340666,68486.17338018044,106.33224472091639,226673.26201810502,9.196470906694502,1.0,0.0,4.189100000000001,0.005856620185738364,40450.0,0.0,5
0.75,0.9,0.2,0.05,success_rate,1,0.04045,0.0,0.9855,0.0,0.99908,0.0,0.7593,0.000447213595499904,0.903604,0.00013483323032539927,54550.25649634223,8.052634163589563,18931.701069663588,62.49618815235084,26664.882998032634,26.23051677100061,87884.5376185247,49.18609582896589,346522.73549087514,395.4784204143883,0.5214366294764017,0.0006847060429701226,4.1832,0.007190271204898944,40450.0,0.0,5
