target,upper,lower,adj,mode,min_remain,swr,success_rate,eff_success,eff_funded,median_cew,p10_avg_wd,init_wd,alloc,years,with_cfs,floor,env
0.95,0.95,0.7,0.1,amount,5,0.030142857142857155,0.978,0.9755,0.9954833333333334,45753.800096737745,33454.053041681545,30142.857142857156,pool_optimal_10_80_10,30,False,0.4,pool_optimal_10_80_10|y30|cf0|fl0.40
0.95,0.95,0.7,0.1,amount,10,0.030142857142857155,0.981,0.975,0.9952166666666667,44846.83615356432,31801.376663600993,30142.857142857156,pool_optimal_10_80_10,30,False,0.4,pool_optimal_10_80_10|y30|cf0|fl0.40
0.95,0.99,0.2,0.05,amount,10,0.030142857142857155,0.9605,0.9605,0.9923833333333333,40105.607506342334,30687.15114726299,30142.857142857156,pool_optimal_10_80_10,30,False,0.4,pool_optimal_10_80_10|y30|cf0|fl0.40
0.95,0.99,0.2,0.05,amount,5,0.030142857142857155,0.957,0.957,0.9921333333333333,40823.097690149065,31748.88366226687,30142.857142857156,pool_optimal_10_80_10,30,False,0.4,pool_optimal_10_80_10|y30|cf0|fl0.40
0.85,0.9,0.5,0.25,success_rate,1,0.04081250000000001,0.9915,0.915,0.9688000000000001,60773.236242986124,38095.016345963304,40812.50000000001,pool_optimal_10_80_10,30,False,0.4,pool_optimal_10_80_10|y30|cf0|fl0.40
0.85,0.9,0.5,0.25,success_rate,3,0.04081250000000001,0.9935,0.9055,0.9684833333333334,60265.83276764698,36906.93940120593,40812.50000000001,pool_optimal_10_80_10,30,False,0.4,pool_optimal_10_80_10|y30|cf0|fl0.40
0.85,0.9,0.5,0.2,success_rate,1,0.04081250000000001,0.9915,0.918,0.9705166666666667,60488.8159711519,37934.44434445803,40812.50000000001,pool_optimal_10_80_10,30,False,0.4,pool_optimal_10_80_10|y30|cf0|fl0.40
0.85,0.9,0.5,0.2,success_rate,3,0.04081250000000001,0.9935,0.9055,0.9701000000000001,59893.33345111032,36629.151992485706,40812.50000000001,pool_optimal_10_80_10,30,False,0.4,pool_optimal_10_80_10|y30|cf0|fl0.40
0.85,0.9,0.7,0.25,success_rate,1,0.04081250000000001,0.9915,0.9175,0.9679666666666666,60352.194965512215,38489.992596504555,40812.50000000001,pool_optimal_10_80_10,30,False,0.4,pool_optimal_10_80_10|y30|cf0|fl0.40
0.85,0.9,0.7,0.25,success_rate,3,0.04081250000000001,0.9935,0.916,0.9679166666666668,59802.483746649275,37123.04929536008,40812.50000000001,pool_optimal_10_80_10,30,False,0.4,pool_optimal_10_80_10|y30|cf0|fl0.40
