target,upper,lower,adj,mode,min_remain,swr_mean,swr_std,success_rate_mean,success_rate_std,funded_ratio_mean,funded_ratio_std,eff_success_mean,eff_success_std,eff_funded_mean,eff_funded_std,median_cew_mean,median_cew_std,p10_cew_mean,p10_cew_std,p10_avg_wd_mean,p10_avg_wd_std,p50_avg_wd_mean,p50_avg_wd_std,p90_avg_wd_mean,p90_avg_wd_std,p90_max_drop_mean,p90_max_drop_std,mean_years_below_floor_mean,mean_years_below_floor_std,init_wd_mean,init_wd_std,n_seeds,init_wd_floor60,passes_eff_sr,passes_p10_wd,passes_years_below,gating_pass
0.95,0.9,0.7,0.05,amount,10,0.023707692307692218,3.440104580769952e-05,0.9639,0.00022360679774995434,0.9919040000000001,3.577708763997656e-05,0.9603999999999999,0.0002236067977500102,0.9896840000000001,8.944271910008104e-06,37448.50997796115,40.531790925240365,24884.56840085346,28.79624377944199,27562.96901766521,0.3830083990266475,69700.58781338918,57.70251884704391,221685.9133924485,96.60084998714319,0.036438855671915536,1.1562490639086075e-05,0.5266,0.000894427190999929,23707.692307692312,34.401045807691,5,14224.615384615387,True,True,True,True
0.95,0.9,0.7,0.05,amount,5,0.023707692307692218,3.440104580769952e-05,0.962,0.0,0.991826,3.130495168501595e-05,0.9586,0.00022360679774995434,0.9896320000000001,2.6832815729968453e-05,37568.15625342133,41.86675608046184,25082.04216069539,22.20569867253256,28729.396466431488,35.39449289201668,76659.75312351297,36.22231484575704,256286.82989912582,108.99648682111905,0.03520861337870726,2.80160962557524e-06,0.5277999999999999,0.0015652475842498168,23707.692307692312,34.401045807691,5,14224.615384615387,True,True,True,True
0.95,0.9,0.7,0.05,amount,1,0.023707692307692218,3.440104580769952e-05,0.962,0.0,0.991818,2.6832815729968453e-05,0.9586,0.00022360679774995434,0.9896240000000001,3.130495168501595e-05,37598.47716742419,40.58332808229319,25189.813877755085,22.95545940528137,29612.274801922023,33.76639535990338,83582.2285786784,55.14926727527459,291582.6447812839,64.46003975181317,0.03439236029931294,8.933591782632379e-06,0.5267999999999999,0.0015652475842498168,23707.692307692312,34.401045807691,5,14224.615384615387,True,True,True,True
0.95,0.9,0.7,0.05,amount,3,0.023707692307692218,3.440104580769952e-05,0.962,0.0,0.991818,2.6832815729968453e-05,0.9586,0.00022360679774995434,0.9896240000000001,3.130495168501595e-05,37587.02842052798,41.03298307637586,25144.89792859759,23.357278535376366,29184.066600149694,12.807787844735074,79598.20642133152,21.720471239951664,275617.8948371811,29.48222529130791,0.03458210772664598,1.817867471231778e-05,0.5269,0.0013416407864998625,23707.692307692312,34.401045807691,5,14224.615384615387,True,True,True,True
0.95,0.95,0.7,0.05,amount,10,0.023707692307692218,3.440104580769952e-05,0.9621000000000001,0.0002236067977500102,0.9915839999999999,1.3416407864999743e-05,0.9591,0.0002236067977500102,0.9894640000000001,3.1304951684960096e-05,37537.926068838075,43.38442180582318,25069.755999922196,8.912486489881834,27508.85459174884,25.553982380461083,69632.79373212917,47.24119300227118,221453.69997235178,98.07573977113732,0.03674835907537676,1.8904437899094712e-05,0.5374000000000001,0.0013416407864998625,23707.692307692312,34.401045807691,5,14224.615384615387,True,True,True,True
0.95,0.95,0.7,0.05,amount,5,0.023707692307692218,3.440104580769952e-05,0.9611000000000001,0.0002236067977500102,0.991512,1.7888543819960352e-05,0.9586,0.00022360679774995434,0.9894339999999999,3.130495168501595e-05,37647.81879083563,43.73597226728629,25272.01253378836,10.178077048711414,28727.847225770063,76.77365682146281,76641.47935459919,45.55139577239932,255989.6887977894,109.71438721891387,0.035953025313075315,3.573620183083154e-05,0.537,0.0011180339887498834,23707.692307692312,34.401045807691,5,14224.615384615387,True,True,True,True
0.95,0.95,0.7,0.05,amount,1,0.023707692307692218,3.440104580769952e-05,0.961,0.0,0.9915099999999999,2.2360679775007845e-05,0.9585000000000001,0.0,0.9894320000000001,2.683281573002431e-05,37678.88308177156,42.274233363256556,25354.421885112366,11.38812797857844,29595.801340033504,27.346480435284423,83421.20969711698,78.61771850208488,290827.3721449023,66.3644488167214,0.034805202513578805,0.00013449612688352843,0.537,0.0011180339887498834,23707.692307692312,34.401045807691,5,14224.615384615387,True,True,True,True
0.95,0.95,0.7,0.05,amount,3,0.023707692307692218,3.440104580769952e-05,0.961,0.0,0.9915099999999999,2.2360679775007845e-05,0.9585000000000001,0.0,0.9894320000000001,2.683281573002431e-05,37666.952462628426,43.47751279331374,25322.485879979515,13.617180473325893,29237.15862037814,7.823513205877591,79535.47810185306,23.686717772157202,275617.8948371811,29.48222529130791,0.0351542533246813,9.907269556433678e-05,0.537,0.0011180339887498834,23707.692307692312,34.401045807691,5,14224.615384615387,True,True,True,True
0.95,0.99,0.5,0.05,amount,10,0.023707692307692218,3.440104580769952e-05,0.9599,0.00022360679774995434,0.9905079999999999,4.919349550503216e-05,0.9585000000000001,0.0,0.9891439999999999,1.3416407864999743e-05,36117.89027147005,30.76488081765529,24852.396677240045,26.436219614024356,27096.627052437514,16.38996658819845,69836.70618007521,25.527305140045712,224947.7081218347,146.48103185958308,0.03666598186143364,1.7549418190398483e-05,0.5552,0.0004472135954999645,23707.692307692312,34.401045807691,5,14224.615384615387,True,True,True,True
0.95,0.99,0.5,0.05,amount,5,0.023707692307692218,3.440104580769952e-05,0.9583999999999999,0.0002236067977500102,0.9904120000000001,4.0249223595024054e-05,0.9583,0.0004472135954999645,0.989136,8.944271910008104e-06,36230.29050535533,26.517130980095498,25106.454005540127,0.26357397406970473,28317.182329567244,2.244485060405935,77361.73273482334,40.56562143026219,259442.35619955914,72.57709543303767,0.03597294670241562,1.877091766115879e-05,0.5542,0.0004472135954999645,23707.692307692312,34.401045807691,5,14224.615384615387,True,True,True,True
